ID,Sex,East,North
JR1-000-1,B,15931.07643,-441286.7449
JR1-000-1,B,14894.05809,-443542.6506
JR1-000-1,B,15772.93914,-445821.0153
JR1-000-1,B,15581.0773,-443755.4998
JR1-000-1,B,14693.86336,-444246.14
JR1-000-1,B,15628.50215,-444419.3676
JR1-000-1,B,15375.45457,-444240.3677
JR1-000-1,B,14732.51119,-445111.3845
JR1-000-1,B,15141.31646,-445298.1106
JR1-000-1,B,15888.32699,-445750.7802
JR1-000-1,B,16332.26189,-445275.8445
JR1-028-2,S,16281.41538,-445238.7571
JR1-000-1,B,15015.86093,-445245.2951
JR1-036-1,S,15708.25981,-439811.3258
JR1-028-2,S,15941.53298,-445522.0928
JR1-050-1,S,16776.76503,-440573.7458
JR1-000-1,B,16238.96953,-445038.517
JR1-028-2,S,16207.26093,-445066.4955
JR1-036-1,S,15661.40573,-439863.0681
JR1-050-1,S,16964.76512,-441721.7249
JR1-028-2,S,16098.50085,-445185.1711
JR1-000-1,B,14795.49212,-439849.5588
JR1-028-2,S,15198.45048,-441431.0355
JR1-000-1,B,16098.50085,-445185.1711
JR1-000-1,B,16397.25678,-444503.1812
JR1-028-2,S,14094.10663,-440873.3519
JR1-036-1,S,15512.71208,-440047.1306
JR1-050-1,S,17114.88292,-440901.3176
JR1-000-1,B,14075.99721,-444713.7139
JR1-028-2,S,14564.35286,-441740.6167
JR1-036-1,S,15349.44151,-440024.2392
JR1-050-1,S,16767.65406,-440637.0712
JR2-038-1,S,14799.45389,-439840.338
JR1-028-2,S,15996.21891,-441481.848
JR1-036-1,S,15374.27283,-440037.1102
JR1-028-2,S,16362.19047,-441975.1986
JR1-050-1,S,16977.12234,-442055.372
JR2-038-1,S,14865.1536,-440202.4106
JR2-008-3,S,16174.04542,-445054.2287
JR2-048-1,S,11314.85532,-440966.0293
JR2-042-1,S,14382.9454,-443670.3681
JR2-042-1,S,14537.2329,-443927.1953
JR2-008-3,S,18718.81684,-444751.0974
JR2-048-1,S,11181.67942,-441006.5149
JR2-008-3,S,17481.43531,-441976.0569
JR2-038-1,S,16554.22878,-441951.9284
JR1-036-1,S,15433.46751,-439952.1455
JR1-028-2,S,16169.15611,-442247.5475
JR1-050-1,S,16998.09529,-440914.1156
JR2-042-1,S,14607.09109,-443781.7517
JR2-048-1,S,11162.38055,-441020.5326
JR2-038-1,S,16632.69326,-441946.3406
JR1-036-1,S,14791.57979,-440236.0442
JR1-028-2,S,16642.19283,-441703.4421
JR2-008-3,S,17099.32582,-441546.2593
JR2-038-1,S,16586.2723,-441935.6993
JR2-042-1,S,14601.88791,-443697.684
JR2-008-3,S,17064.85465,-440776.5105
JR1-050-1,S,17048.3543,-440847.5024
JR1-036-1,S,14943.54183,-440206.0613
JR1-028-2,S,15860.7441,-441668.4741
JR2-048-1,S,11204.82323,-440991.4604
JR2-008-3,S,15581.3545,-445495.2584
JR2-042-1,S,14690.1969,-443542.0373
JR1-028-2,S,16189.63021,-442273.3754
JR1-036-1,S,14679.34188,-440277.5057
JR2-038-1,S,16872.03211,-442655.7953
JR2-048-1,S,12596.91018,-441432.0416
JR1-050-1,S,17006.11686,-440836.4646
JR2-038-1,S,16504.8605,-442693.4805
JR1-050-1,S,17078.4145,-440749.4278
JR1-036-1,S,14997.84284,-440066.5119
JR1-028-2,S,16186.76756,-442349.4066
JR2-008-3,S,17298.62993,-442752.4384
JR2-048-1,S,12534.4731,-441548.9462
JR2-042-1,S,17220.04212,-444219.8182
M3-022-1,B,8430.43683,-438658.7836
M2-016-1,B,16689.54857,-444804.4104
JR2-048-1,S,12555.55108,-441551.1474
JR2-008-3,S,17016.00556,-441926.5811
JR2-038-1,S,16455.72738,-441316.2055
JR1-050-1,S,17065.14683,-440874.7955
JR1-028-2,S,16833.7737,-442431.9757
M2-016-1,B,16359.73644,-444750.9038
JR1-036-1,S,15188.77738,-440053.6214
JR2-042-1,S,17185.72587,-444217.7752
M3-022-1,B,10146.88832,-439331.6489
JR1-028-2,S,16622.62308,-441807.4355
JR1-036-1,S,15166.33027,-440036.6455
JR1-050-1,S,17139.50259,-440882.5347
M2-016-1,B,16387.99416,-445602.2198
M3-022-1,B,14282.30927,-439549.424
JR2-038-1,S,16622.62308,-441807.4355
JR2-008-3,S,15454.05983,-445535.4248
JR2-048-1,S,15631.66171,-442958.3783
JR2-042-1,S,17237.21403,-444487.4269
JR2-048-1,S,17165.89717,-444303.8331
JR1-028-2,S,16445.70647,-441275.8448
JR1-036-1,S,14888.20098,-439967.3156
JR2-042-1,S,15427.18432,-443320.8859
JR1-050-1,S,16998.97758,-440694.9493
M3-022-1,B,12893.94961,-442040.9906
JR2-038-1,S,16488.77967,-441401.1421
M2-016-1,B,16574.53795,-444957.6064
M3-022-1,B,8355.764665,-439563.9132
JR2-008-3,S,14019.95828,-444739.8076
JR2-008-3,S,14007.93525,-444721.0184
JR2-048-1,S,17280.23775,-444303.2456
JR2-038-1,S,16141.97268,-442394.545
JR2-008-3,S,13907.50971,-444672.7116
JR1-036-1,S,15188.01434,-440095.4997
JR2-042-1,S,17473.06984,-444308.0695
M2-016-1,B,13907.50971,-444672.7116
M3-022-1,B,10867.16024,-438629.4866
JR1-028-2,S,16141.97268,-442394.545
JR1-050-1,S,17065.61064,-440739.5601
JR2-042-1,S,17944.31754,-444568.2786
M2-016-1,B,13920.03602,-444677.0801
JR2-048-1,S,17071.50845,-444253.1611
JR2-008-3,S,13920.03602,-444677.0801
JR2-038-1,S,16112.77155,-442501.3715
JR1-028-2,S,16112.77155,-442501.3715
JR1-036-1,S,14079.83432,-440853.078
JR1-050-1,S,17060.29296,-440758.8445
M3-022-1,B,10912.42619,-438732.5062
JR2-038-1,S,16178.72946,-442552.6372
M3-022-1,B,9941.638976,-439663.7313
JR1-028-2,S,16130.60032,-442502.7891
JR1-036-1,S,14328.13083,-440824.7729
JR1-050-1,S,17057.17223,-440730.0371
JR2-008-3,S,13739.28267,-444878.8286
JR2-042-1,S,15402.34866,-443359.3094
M2-016-1,B,14040.46812,-443924.6712
JR2-048-1,S,17316.04226,-443930.1741
