ID,xbar,ybar,counts,date_min,date_max,Sex,Trans
102,76.05086131247532,9967.476130661507,6,2004-06-16,2005-02-16,Super,0
104,83.9555952962386,9971.246099647533,9,2004-06-16,2005-11-04,Super,0
11.3,87.72460398160925,9972.96316229616,8,2005-04-27,2005-08-01,Super,1
120,77.62882358813503,9967.700071502291,6,2004-06-16,2005-03-15,Male,0
123.1,84.09721007298965,9967.971967653368,14,2004-06-16,2005-08-22,Male,0
13.1,86.78911301090137,9976.3076105839,6,2004-06-16,2005-03-09,Super,0
13.3,87.12214679023232,9971.837591462516,7,2005-05-06,2005-07-29,Super,1
13.4,80.95182515532035,9978.550630280224,8,2005-08-08,2005-10-29,Super,1
138.1,100.87615276845578,9967.155771206824,6,2004-12-13,2005-04-28,Super,0
138.3,99.91726511294586,9967.268090588244,6,2005-05-25,2005-07-29,Super,1
138.5,90.8455600822897,9966.488687826266,5,2005-08-30,2005-10-21,Super,1
141,81.38264211352646,9971.225907336484,14,2004-12-13,2005-12-12,Super,0
145,86.52730200367078,9976.834752194018,5,2004-12-13,2005-06-16,Female,0
15.1,94.26041867332523,9970.463085167012,14,2004-06-16,2005-06-28,Super,0
15.3,76.72000652679523,9973.245313362946,9,2005-08-01,2005-11-04,Super,1
151.2,97.65154696029096,9973.20545911367,9,2005-03-17,2005-07-29,Female,1
161.1,97.53789837658218,9969.552967154554,8,2004-12-13,2005-07-29,Male,0
161.2,82.50121826446448,9980.049342056607,9,2005-08-06,2005-10-29,Male,1
165.1,84.61407704875127,9967.713819046328,5,2004-12-13,2005-05-30,Super,0
165.3,76.11388097906622,9972.95960432253,10,2005-08-01,2005-11-16,Super,1
179.1,87.85638909260753,9962.679444542522,12,2004-12-13,2005-07-30,Male,0
179.2,75.35287671132575,9970.46088820067,13,2005-08-01,2005-11-17,Male,1
18.4,94.68737543317548,9970.856226537544,8,2005-05-06,2005-06-28,Super,1
181.1,89.55842781864769,9967.682240572212,5,2004-12-13,2005-02-27,Female,0
181.2,85.86643709537256,9980.066012139323,9,2005-03-04,2005-07-30,Female,1
187.2,87.16711922959847,9973.370630466865,6,2005-04-18,2005-07-29,Female,1
187.3,87.51614988490131,9973.345986173812,5,2005-08-11,2005-10-16,Female,1
188.1,96.873402039312,9973.937736493606,5,2004-12-13,2005-03-31,Super,0
188.3,87.50637923973296,9976.191573051325,8,2005-05-06,2005-07-30,Super,1
191.3,76.11107706071483,9979.145400274061,5,2005-04-16,2005-08-22,Female,1
194.5,77.16142561564656,9972.581701702662,7,2005-10-05,2005-11-16,Female,1
195,80.84407893967713,9977.623542592291,14,2004-12-13,2005-10-05,Female,0
198.3,92.3177697083202,9972.749217847417,5,2005-05-25,2005-06-28,Super,1
198.5,82.82565674853963,9972.745436989368,6,2005-07-30,2005-11-17,Super,1
208.1,82.03546410310872,9969.211684208329,10,2004-12-13,2005-08-22,Female,0
21,89.59449295492011,9972.459574586106,6,2004-06-16,2005-04-27,Female,0
212,73.97100597421972,9973.653095892745,6,2004-12-13,2005-03-31,Male,0
218.5,88.95940560838294,9968.354260525546,9,2005-05-06,2005-07-30,Male,1
22.4,76.90098768534828,9972.685600348097,8,2005-05-06,2005-08-11,Super,1
223.4,76.28993476939033,9975.129232146563,7,2005-06-10,2005-08-11,Male,1
223.5,88.80081331281235,9972.85975055047,6,2005-08-22,2005-11-16,Male,1
225.1,76.03168537999619,9971.718860465115,10,2004-12-13,2005-08-22,Male,0
225.3,85.3027478533388,9974.459321849943,6,2005-09-13,2005-11-04,Male,1
227.1,80.81072300288757,9981.485460942364,9,2004-12-13,2005-06-28,Male,0
227.3,93.24724043785945,9974.5703216534,5,2005-08-30,2005-10-17,Male,1
23.5,82.63749010338033,9968.980468069067,5,2005-06-15,2005-10-21,Super,1
230.1,79.59570210231317,9973.723163469449,13,2004-12-13,2005-08-24,Male,0
231.3,98.79558568383128,9960.03461281334,5,2005-06-10,2005-10-29,Male,1
233.2,82.95979299705506,9979.579945637219,6,2005-04-01,2005-09-13,Female,1
235.1,77.66323941898803,9977.237730049877,6,2005-06-10,2005-08-22,Female,0
236.6,83.0652247971409,9973.884579085243,6,2005-06-16,2005-08-24,Super,1
237.1,75.59236709146533,9967.876985032886,5,2004-12-13,2005-03-31,Female,0
237.4,79.83771942754382,9965.24535306063,6,2005-05-06,2005-08-11,Female,1
237.5,85.84073381932468,9974.18069591944,7,2005-08-22,2005-11-04,Female,1
239.1,87.59668804801568,9966.945051346891,7,2004-12-13,2005-05-30,Super,0
242.2,76.94940360140995,9976.195535383851,10,2005-03-19,2005-08-24,Female,1
244.3,87.76691415930443,9973.233393715327,7,2005-04-28,2005-07-29,Super,1
252.3,76.67215697871605,9982.959554242856,7,2005-04-21,2005-10-28,Female,1
256.4,74.86848145939271,9970.715166735417,7,2005-05-06,2005-08-11,Super,1
256.5,85.84073381932468,9974.18069591944,7,2005-08-22,2005-11-04,Super,1
259.4,89.77096464032762,9972.841532653283,5,2005-05-25,2005-06-28,Female,1
260.1,88.16390354809887,9971.089156104372,6,2004-12-13,2005-04-17,Male,0
260.3,94.9476900650759,9968.89266450172,6,2005-05-10,2005-06-28,Male,1
260.8,88.33960907423057,9967.897462441162,6,2005-10-05,2005-11-18,Male,1
27,77.66362304814506,9972.881009980647,7,2004-06-16,2005-04-16,Female,0
28,80.84064020354879,9967.227383892605,5,2004-06-16,2005-03-31,Super,0
29,73.32531052287665,9970.849499449312,5,2004-06-16,2004-09-19,Female,0
31.3,81.95157252134298,9966.753674712547,5,2005-03-14,2005-05-06,Super,1
31.4,77.65792452745174,9977.256454935485,7,2005-06-10,2005-08-22,Super,1
32.1,85.45613074401628,9974.595461243627,11,2004-06-16,2005-07-30,Super,0
32.2,75.53507764272621,9970.315518968844,9,2005-08-01,2005-10-05,Super,1
33.1,91.65168424311614,9969.988855458634,5,2004-06-16,2005-03-09,Super,0
34.3,76.80525402038762,9977.406268533387,5,2005-03-19,2005-05-30,Super,1
36.3,89.22446061180584,9973.287334689314,15,2005-04-28,2005-11-17,Super,1
4,88.3552309958698,9970.05226306351,5,2004-06-16,2005-10-17,Female,0
40.6,80.8824360401148,9964.756488918913,6,2005-08-11,2005-11-16,Female,1
41.1,82.46611774914076,9973.115568572555,13,2004-06-16,2005-08-24,Super,0
41.2,85.93658801788109,9974.147491449068,6,2005-08-30,2005-11-04,Super,1
42.1,80.89032860188505,9975.224323264623,12,2004-06-16,2005-08-24,Female,0
43,75.6648766754722,9980.128901863103,5,2004-06-16,2004-09-17,Female,0
44.1,78.0221303402479,9966.99402821152,12,2004-06-16,2005-05-25,Super,0
44.4,82.05564711387854,9981.208785347379,7,2005-07-03,2005-10-05,Super,1
47.5,93.28555563126291,9972.210218366887,11,2005-04-17,2005-07-30,Super,1
47.7,94.32988328925559,9970.496978332427,5,2005-08-30,2005-10-17,Super,1
51.3,95.7913889437645,9971.012058992585,9,2005-04-28,2005-07-30,Super,1
63.1,81.0850741736585,9973.334622556491,11,2004-06-16,2005-08-24,Female,0
66.2,80.74294265807276,9964.992756854004,6,2005-03-31,2005-06-10,Super,1
71,82.78240646241983,9979.658178080243,7,2004-06-16,2004-10-12,Female,0
75.1,86.56794315930047,9971.806504411457,11,2004-06-16,2005-08-24,Super,0
8.2,77.96381536676385,9983.42821787222,5,2005-03-04,2005-06-16,Female,1
8.5,90.14238944090557,9966.659652015653,7,2005-08-30,2005-10-29,Female,1
84.1,74.33201647788974,9979.086939084475,6,2004-06-16,2005-02-19,Female,0
87.1,96.68789882877508,9966.47881341271,6,2004-06-16,2005-04-09,Female,0
87.3,97.9811677680522,9966.619525187765,6,2005-04-27,2005-06-10,Female,1
89.1,92.98979882158532,9965.388494639472,15,2004-06-16,2005-07-30,Female,0
90,74.4153151470024,9973.086464652515,6,2004-06-16,2004-09-21,Female,0
96.1,84.8873113767066,9978.424619994772,6,2004-06-16,2005-03-04,Super,0
96.3,75.6841504363106,9970.026407315876,13,2005-06-15,2005-11-04,Super,1
97,77.35378720057139,9981.602139600262,6,2004-06-16,2004-12-06,Female,0
