id1,id2,Sex1,Sex2,Trans1,Trans2,distance,event,time,maxtime,np,Dyad,Dyad_num
104,102,Super,Super,0,0,8.757710060835349,0,9,9,98,dyad_1,2
120,102,Male,Super,0,0,1.5937736487896437,0,9,9,45,dyad_3,2
123.1,102,Male,Super,0,0,8.061611668787311,0,9,9,90,dyad_4,2
13.1,102,Super,Super,0,0,13.9034199806519,0,9,9,44,dyad_5,2
138.1,102,Super,Super,0,0,24.827358418780307,0,3,3,54,dyad_8,2
141,102,Super,Super,0,0,6.518336568684997,0,3,3,93,dyad_11,2
145,102,Female,Super,0,0,14.047761620446968,0,3,3,72,dyad_12,2
15.1,102,Super,Super,0,0,18.45290970270099,0,9,9,77,dyad_13,2
161.1,102,Male,Super,0,0,21.587172385774636,0,3,3,73,dyad_16,2
165.1,102,Super,Super,0,0,8.566513848368126,0,3,3,65,dyad_18,2
179.1,102,Male,Super,0,0,12.742789486275719,0,3,3,74,dyad_20,2
181.1,102,Female,Super,0,0,13.509138914600012,0,3,3,37,dyad_23,2
188.1,102,Super,Super,0,0,21.802076787549098,0,3,3,44,dyad_27,2
195,102,Female,Super,0,0,11.222517726193937,0,3,3,93,dyad_31,2
208.1,102,Female,Super,0,0,6.231181001667456,0,3,3,85,dyad_34,2
21,102,Female,Super,0,0,14.431378015139515,0,9,9,56,dyad_35,2
212,102,Male,Super,0,0,6.517721817935361,0,3,3,44,dyad_36,2
225.1,102,Male,Super,0,0,4.24277313826747,0,3,3,85,dyad_41,2
227.1,102,Male,Super,0,0,14.795864903072532,0,3,3,72,dyad_43,2
230.1,102,Male,Super,0,0,7.182709455964202,0,3,3,85,dyad_46,2
237.1,102,Female,Super,0,0,0.6090165660744956,0,3,3,44,dyad_51,2
239.1,102,Super,Super,0,0,11.558034445593764,0,3,3,65,dyad_54,2
260.1,102,Male,Super,0,0,12.640401301097443,0,3,3,47,dyad_61,2
27,102,Female,Super,0,0,5.640365313568192,0,9,9,51,dyad_64,2
28,102,Super,Super,0,0,4.796233603611526,0,9,9,49,dyad_65,2
29,102,Female,Super,0,0,4.336847251773749,0,4,4,25,dyad_66,2
32.1,102,Super,Super,0,0,11.795929849629703,0,9,9,79,dyad_69,2
33.1,102,Super,Super,0,0,15.801881597433395,0,9,9,44,dyad_71,2
4,102,Female,Super,0,0,12.571156329402765,0,9,9,98,dyad_74,2
41.1,102,Super,Super,0,0,8.541590899870007,0,9,9,90,dyad_76,2
42.1,102,Female,Super,0,0,9.135367111410888,0,9,9,90,dyad_78,2
43,102,Female,Super,0,0,12.6586572439551,0,4,4,25,dyad_79,2
44.1,102,Super,Super,0,0,2.0293655048164463,0,9,9,70,dyad_80,2
63.1,102,Female,Super,0,0,7.724326923123561,0,9,9,90,dyad_85,2
71,102,Female,Super,0,0,13.918188798046076,0,5,5,25,dyad_87,2
75.1,102,Super,Super,0,0,11.373704206944861,0,9,9,90,dyad_88,2
84.1,102,Female,Super,0,0,11.737346369611341,0,9,9,42,dyad_91,2
87.1,102,Female,Super,0,0,20.661121923649546,0,9,9,50,dyad_92,2
89.1,102,Female,Super,0,0,17.067097822946753,0,9,9,79,dyad_94,2
90,102,Female,Super,0,0,5.843873608322701,0,4,4,25,dyad_95,2
96.1,102,Super,Super,0,0,14.06955110933761,0,9,9,44,dyad_96,2
97,102,Female,Super,0,0,14.185969984729123,0,7,7,25,dyad_98,2
102,104,Super,Super,0,0,8.757710060835349,0,9,9,42,dyad_1,1
