id1,id2,Sex1,Sex2,distance,event,time,maxtime,np,Dyad,Dyad_num
JB1-149-1,JB1-145-1,B,B,1.661611699,0,5,5,12,dyad_1,2
JB1-157-1,JB1-145-1,B,B,4.742635592,0,5,5,12,dyad_2,2
JR2-002-1,JB1-145-1,S,B,2.499210835,0,5,5,12,dyad_7,2
JR2-037-1,JB1-145-1,S,B,2.590298457,0,5,5,12,dyad_9,2
JR3-010-1,JB1-145-1,S,B,3.850285453,0,5,5,12,dyad_13,2
JR3-026-1,JB1-145-1,S,B,2.793602175,0,5,5,12,dyad_14,2
JR3-044-3,JB1-145-1,B,B,0.634842788,1,1,4,12,dyad_15,2
JR3-046-2,JB1-145-1,S,B,3.679715219,0,5,5,12,dyad_16,2
JR3-056-2,JB1-145-1,S,B,1.406490161,1,2,5,12,dyad_17,2
JR3-071-1,JB1-145-1,S,B,4.846241553,0,5,5,12,dyad_18,2
JR3-095-1,JB1-145-1,S,B,2.676660904,0,4,4,12,dyad_19,2
M2-016-1,JB1-145-1,B,B,2.565643463,0,2,2,20,dyad_20,2
JB1-145-1,JB1-149-1,B,B,1.661611699,0,5,5,12,dyad_1,1
JB1-157-1,JB1-149-1,B,B,5.09700305,0,5,5,12,dyad_22,2
JR2-002-1,JB1-149-1,S,B,1.155195068,0,5,5,12,dyad_27,2
JR2-037-1,JB1-149-1,S,B,0.958356667,0,5,5,12,dyad_29,2
JR3-010-1,JB1-149-1,S,B,4.075060345,0,5,5,12,dyad_33,2
JR3-026-1,JB1-149-1,S,B,2.127758191,0,5,5,12,dyad_34,2
JR3-044-3,JB1-149-1,B,B,1.413649094,1,3,4,12,dyad_35,2
JR3-046-2,JB1-149-1,S,B,3.884504737,0,5,5,12,dyad_36,2
JR3-056-2,JB1-149-1,S,B,0.70567569,0,5,5,12,dyad_37,2
JR3-071-1,JB1-149-1,S,B,5.290102996,0,5,5,12,dyad_38,2
JR3-095-1,JB1-149-1,S,B,1.031061742,0,4,4,12,dyad_39,2
M2-016-1,JB1-149-1,B,B,1.130646999,0,2,2,20,dyad_40,2
JB1-145-1,JB1-157-1,B,B,4.742635592,0,5,5,12,dyad_2,1
JB1-149-1,JB1-157-1,B,B,5.09700305,0,5,5,12,dyad_22,1
JR2-002-1,JB1-157-1,S,B,4.54756658,0,5,5,12,dyad_46,2
JR2-037-1,JB1-157-1,S,B,5.247070238,0,5,5,12,dyad_48,2
JR3-010-1,JB1-157-1,S,B,1.034828565,1,2,5,12,dyad_52,2
JR3-026-1,JB1-157-1,S,B,3.314106984,0,5,5,12,dyad_53,2
JR3-044-3,JB1-157-1,B,B,5.297426999,0,4,4,12,dyad_54,2
JR3-046-2,JB1-157-1,S,B,1.223841186,1,2,5,12,dyad_55,2
JR3-056-2,JB1-157-1,S,B,4.407616318,0,5,5,12,dyad_56,2
JR3-071-1,JB1-157-1,S,B,0.315023654,1,2,5,12,dyad_57,2
JR3-095-1,JB1-157-1,S,B,5.352322038,1,3,4,12,dyad_58,2
M2-016-1,JB1-157-1,B,B,4.716909955,0,2,2,20,dyad_59,2
JR1-028-2,JR1-000-1,S,B,1.729016928,0,1,1,9,dyad_61,2
JR1-036-1,JR1-000-1,S,B,3.753800145,0,1,1,9,dyad_62,2
JR1-050-1,JR1-000-1,S,B,3.629628841,0,1,1,9,dyad_63,2
JR1-000-1,JR1-028-2,B,S,1.729016928,0,1,1,3,dyad_61,1
JR1-036-1,JR1-028-2,S,S,2.657503575,0,6,6,9,dyad_79,2
JR1-050-1,JR1-028-2,S,S,1.908270124,0,6,6,9,dyad_80,2
JR2-008-3,JR1-028-2,S,S,1.431881831,0,6,6,8,dyad_82,2
JR2-038-1,JR1-028-2,B,S,0.392763923,1,2,6,8,dyad_84,2
JR2-042-1,JR1-028-2,S,S,1.531687877,0,6,6,8,dyad_85,2
JR2-048-1,JR1-028-2,S,S,0.837385767,0,6,6,8,dyad_86,2
M2-016-1,JR1-028-2,B,S,1.930023565,0,6,6,20,dyad_94,2
M3-022-1,JR1-028-2,B,S,4.743460802,0,4,4,8,dyad_95,2
JR1-000-1,JR1-036-1,B,S,3.753800145,0,1,1,3,dyad_62,1
JR1-028-2,JR1-036-1,S,S,2.657503575,0,6,6,9,dyad_79,1
JR1-050-1,JR1-036-1,S,S,2.258935884,0,6,6,9,dyad_96,2
JR2-008-3,JR1-036-1,S,S,3.863448437,0,6,6,8,dyad_98,2
JR2-038-1,JR1-036-1,B,S,2.504590487,0,6,6,8,dyad_100,2
JR2-042-1,JR1-036-1,S,S,4.170752009,0,6,6,8,dyad_101,2
JR2-048-1,JR1-036-1,S,S,2.728447955,0,6,6,8,dyad_102,2
M2-016-1,JR1-036-1,B,S,3.387141292,0,5,5,20,dyad_110,2
M3-022-1,JR1-036-1,B,S,2.595391194,1,2,4,8,dyad_111,2
JR1-000-1,JR1-050-1,B,S,3.629628841,0,1,1,3,dyad_63,1
JR1-028-2,JR1-050-1,S,S,1.908270124,0,6,6,9,dyad_80,1
JR1-036-1,JR1-050-1,S,S,2.258935884,0,6,6,9,dyad_96,1
